task_id,fuzzing_duration,timestamp,offsets,execution_num,crash_num,time
2,86404,2025-05-30T20:17:09.587792+00:00,262817,650,0,13906000.0
2,86404,2025-05-30T20:17:09.587792+00:00,503245,995,0,16687000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"260250,260287,260255,260261,260348",1194,0,17529000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"264043,263842,263850,263876,263938",1256,0,17600000.0
2,86404,2025-05-30T20:17:09.587792+00:00,182438,1261,0,18033000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"260647,187710,182469,187735",1293,0,20665000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"187771,187796",1487,0,21488000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"161049,161072",1547,0,22991000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"186667,187154,186778,186754,186638,186709,186896,186798,186643,186776,186808",1652,0,25111000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"494592,494584",1804,0,25478000.0
2,86404,2025-05-30T20:17:09.587792+00:00,"189723,188079,189712,189739,192142",1830,0,25747000.0
